JD,Magnitude
2438759.4,0.09
2438804.3,0.37
2439177.0,0.69
2440953.59,0.58
2440972.56,0.66
2440973.57,0.56
2441005.65,0.61
2441312.62,0.63
2441334.57,0.47
2441705.65,0.74
2442468.53,0.47
2442494.59,0.48
2442833.544,0.49
2442866.6,0.2
2444218.811,0.9
2444602.767,0.28
2444609.65,0.23
2444609.68,0.35
2444657.69,0.503
2444661.78,0.584
2444680.661,0.435
2444686.666,0.504
2444691.679,0.496
2444692.663,0.575
2444694.674,0.54
2444700.677,0.61
2444907.969,0.76
2444937.8,0.71
2445024.67,0.49
2445032.67,0.51
2445337.71,0.61
2445395.6007,0.577
2445403.6708,0.604
2445784.6352,0.644
2446331.01,0.58
2446352.95,0.68
2446379.07,0.67
2446380.1,0.71
2446381.08,0.64
2446793.6213,0.5
2446820.572,0.478
2446831.5326,0.444
2446842.506,0.455
2446869.5146,0.372
2446877.5752,0.385
2446878.5264,0.346
2446883.5456,0.37
2446896.5634,0.314
2447184.6361,0.607
2447198.6824,0.536
2447204.6363,0.519
2447232.7,0.5
2447232.7132,0.431
2447239.6593,0.413
2447239.7,0.4
2447246.6,0.4
2447246.9887,0.388
2447252.6,0.4
2447252.6875,0.383
2447263.6632,0.349
2447415.07,0.74
2447478.66,1.03
2447478.9,0.76
2447497.87,0.81
2447506.85,0.84
2447539.7042,0.91
2447551.7544,0.904
2447568.7225,0.952
2447579.6887,0.984
2447589.735,0.98
2447599.8,0.93
2447601.6903,0.94
2447611.8,0.85
2447615.659,0.924
2447624.6544,0.909
2447863.9375,0.85
2447865.9,0.75
2447879.8,0.69
2447880.9,0.63
2447883.866,0.728
2447891.9097,0.707
2447898.7609,0.658
2447911.8278,0.671
2447915.825,0.661
2447917.6229,0.644
2447921.5477,0.638
2447922.5727,0.64
2447930.537,0.64
2447930.5845,0.641
2447932.7028,0.6
2447933.5549,0.629
2447933.6137,0.634
2447934.5194,0.632
2447934.5613,0.629
2447938.6465,0.609
2447939.6266,0.622
2447945.5389,0.611
2447947.5366,0.611
2447954.5269,0.604
2447957.7458,0.583
2447962.6826,0.628
2447968.5468,0.604
2447970.5718,0.622
2447971.8,0.55
2447978.8,0.59
2447985.5789,0.582
2447989.5602,0.61
2447993.5486,0.607
2447999.8,0.61
2448186.88,0.3
2448209.94,0.47
2448234.8229,0.557
2448239.6769,0.569
2448243.6592,0.588
2448253.8,0.55
2448260.8,0.46
2448269.6431,0.499
2448271.6414,0.484
2448277.8,0.49
2448279.7715,0.508
2448289.7069,0.482
2448297.559,0.466
2448297.6847,0.454
2448306.6222,0.495
2448306.6597,0.475
2448322.65,0.541
2448322.8,0.5
2448323.5428,0.521
2448324.6403,0.524
2448324.6778,0.575
2448332.6868,0.574
2448337.6521,0.596
2448347.6882,0.527
2448350.65,0.572
2448350.79,0.56
2448355.663,0.561
2448361.6514,0.554
2448543.0,0.29
2448570.9,0.36
2448593.8243,0.366
2448602.7028,0.405
2448617.6441,0.368
2448617.8,0.35
2448618.6748,0.347
2448620.8,0.35
2448630.7481,0.346
2448634.7326,0.359
2448635.5988,0.38
2448636.7197,0.383
2448645.6866,0.375
2448646.6194,0.351
2448648.8,0.35
2448650.7375,0.376
2448655.96,0.32
2448656.7493,0.379
2448669.5243,0.359
2448669.6525,0.35
2448672.5951,0.385
2448677.619,0.389
2448677.75,0.385
2448692.6491,0.383
2448692.688,0.394
2448695.6016,0.407
2448704.8,0.39
2448707.8368,0.41
2448710.8427,0.393
2448715.8349,0.408
2448716.6187,0.438
2448716.8402,0.347
2448719.819,0.473
2448724.634,0.399
2448729.75,0.42
2448872.5676,0.494
2448928.9079,0.458
2448945.7914,0.528
2448952.9,0.58
2448954.8958,0.596
2448969.7236,0.672
2448978.6282,0.723
2448980.7569,0.723
2449006.5991,0.822
2449009.5757,0.82
2449012.7287,0.848
2449012.8,0.84
2449019.7398,0.857
2449020.5569,0.857
2449020.6653,0.869
2449023.8846,0.762
2449029.74,0.86
2449037.5539,0.894
2449037.8,0.86
2449040.6019,0.877
2449040.7039,0.88
2449043.5275,0.897
2449045.5303,0.89
2449047.8342,0.801
2449049.5338,0.898
2449050.6049,0.915
2449053.5359,0.899
2449054.6861,0.937
2449055.6139,0.906
2449061.6627,0.909
2449061.75,0.88
2449070.75,0.89
2449075.77,0.84
2449080.6688,0.865
2449091.8,0.86
2449100.8,0.82
2449100.8193,0.648
2449240.1,0.82
2449274.8616,0.737
2449300.7801,0.652
2449302.9,0.59
2449307.7762,0.623
2449316.775,0.624
2449320.7803,0.603
2449333.7238,0.608
2449337.7255,0.593
2449339.7954,0.615
2449341.8,0.61
2449342.9,0.59
2449352.638,0.649
2449356.7123,0.66
2449361.7,0.69
2449364.6447,0.679
2449370.6368,0.701
2449370.762,0.696
2449381.6931,0.74
2449383.6211,0.734
2449388.5907,0.732
2449388.6141,0.726
2449395.5704,0.733
2449396.6792,0.716
2449401.5519,0.704
2449410.5382,0.691
2449414.859,0.634
2449416.5711,0.674
2449416.6544,0.66
2449418.6,0.65
2449418.8,0.67
2449420.5215,0.672
2449427.591,0.67
2449428.8302,0.845
2449432.6669,0.71
2449433.64,0.68
2449450.8,0.65
2449649.8132,0.404
2449653.809,0.403
2449656.794,0.415
2449662.7456,0.402
2449666.7602,0.424
2449671.7687,0.45
2449673.7755,0.45
2449675.7,0.48
2449680.8,0.5
2449684.7384,0.481
2449685.7514,0.483
2449687.6961,0.464
2449689.7539,0.474
2449694.7396,0.494
2449696.759,0.507
2449698.7368,0.508
2449707.6109,0.536
2449707.7109,0.533
2449712.7088,0.552
2449716.694,0.562
2449725.6664,0.61
2449726.6044,0.615
2449727.6891,0.616
2449736.6435,0.65
2449745.6081,0.662
2449746.622,0.671
2449746.7243,0.653
2449748.5852,0.67
2449750.6153,0.69
2449751.5912,0.673
2449752.6025,0.668
2449752.6056,0.689
2449754.5931,0.696
2449755.5676,0.69
2449756.5775,0.693
2449757.5634,0.698
2449761.5986,0.711
2449763.562,0.704
2449765.5667,0.707
2449765.5838,0.723
2449766.5553,0.705
2449766.6308,0.714
2449767.6125,0.692
2449770.5225,0.706
2449770.544,0.719
2449779.725,0.791
2449780.5139,0.74
2449786.5074,0.782
2449786.553,0.776
2449788.5734,0.77
2449789.5465,0.784
2449790.5468,0.802
2449791.719,0.801
2449800.5896,0.797
2449802.6694,0.825
2449802.6951,0.819
2449803.6329,0.819
2449808.6176,0.817
2449808.6502,0.789
2449811.6731,0.841
2449815.6,0.79
2449819.6516,0.83
2449820.6181,0.78
2449832.6148,0.802
2450017.7956,0.344
2450018.8137,0.363
2450028.7792,0.396
2450030.7417,0.38
2450053.7417,0.457
2450054.7234,0.443
2450061.7521,0.451
2450071.6671,0.658
2450088.6743,0.48
2450090.672,0.483
2450093.6639,0.489
2450097.6032,0.497
2450102.6949,0.534
2450103.5859,0.501
2450106.556,0.528
2450111.612,0.507
2450117.5887,0.516
2450118.591,0.51
2450127.7113,0.528
2450128.5688,0.513
2450128.8,0.56
2450129.5583,0.503
2450129.6169,0.525
2450130.5616,0.511
2450130.6581,0.505
2450138.5373,0.493
2450139.5336,0.496
2450140.5306,0.503
2450146.5201,0.491
2450152.5113,0.481
2450153.8,0.56
2450158.6576,0.497
2450163.8,0.46
2450180.6641,0.499
2450191.8,0.5
2450312.1,0.46
2450363.8264,0.343
2450367.8234,0.352
2450369.8125,0.346
2450388.7836,0.397
2450396.7979,0.41
2450398.7734,0.412
2450402.8086,0.407
2450414.4648,0.416
2450419.7211,0.469
2450420.453,0.462
2450425.6896,0.474
2450429.7403,0.5
2450433.4826,0.49
2450437.6796,0.497
2450444.4262,0.522
2450457.6569,0.528
2450460.4002,0.511
2450464.6523,0.531
2450467.5926,0.515
2450467.6347,0.503
2450467.6458,0.523
2450468.5822,0.503
2450473.5944,0.505
2450477.3484,0.501
2450478.597,0.505
2450481.3854,0.499
2450483.5796,0.519
2450488.3616,0.514
2450488.5806,0.502
2450489.5745,0.53
2450490.5789,0.522
2450492.5681,0.514
2450493.6745,0.522
2450494.2988,0.521
2450498.6553,0.576
2450500.2965,0.543
2450501.5917,0.578
2450502.5389,0.552
2450502.6463,0.572
2450504.5368,0.548
2450509.2905,0.556
2450513.7225,0.595
2450514.6671,0.587
2450516.6775,0.592
2450517.6995,0.593
2450532.6634,0.59
2450533.6938,0.607
2450535.9655,0.562
2450546.6664,0.653
2450551.3206,0.667
2450736.5905,0.607
2450755.5926,0.567
2450755.7611,0.572
2450776.5986,0.507
2450787.5125,0.487
2450790.4958,0.472
2450795.491,0.455
2450798.7248,0.445
2450806.4569,0.433
2450809.6236,0.444
2450810.4644,0.44
2450821.4069,0.458
2450831.3785,0.464
2450834.3736,0.468
2450837.5727,0.467
2450838.5826,0.465
2450839.6403,0.457
2450842.6102,0.466
2450843.3914,0.456
2450845.59,0.476
2450845.5963,0.461
2450845.7111,0.492
2450847.5924,0.472
2450848.5914,0.435
2450849.3715,0.461
2450853.5822,0.459
2450858.359,0.464
2450859.6694,0.444
2450860.5609,0.471
2450860.6868,0.506
2450865.2891,0.477
2450870.5329,0.51
2450871.6669,0.554
2450874.2694,0.501
2450874.5796,0.531
2450876.5819,0.554
2450881.5975,0.548
2450883.2766,0.529
2450889.3053,0.547
2450890.6632,0.587
2450891.6757,0.583
2450898.6417,0.581
2450901.6051,0.611
2450904.6366,0.597
2450907.6278,0.612
2450914.6356,0.635
2451075.5938,0.564
2451097.8368,0.543
2451099.6174,0.526
2451109.6109,0.451
2451116.5831,0.406
2451123.5139,0.39
2451129.5495,0.377
2451131.7884,0.376
2451132.7442,0.376
2451135.5257,0.383
2451135.8012,0.383
2451136.7354,0.392
2451139.7868,0.395
2451139.7956,0.383
2451141.7477,0.391
2451146.5074,0.393
2451155.497,0.417
2451155.6956,0.425
2451156.7412,0.417
2451159.737,0.428
2451160.7354,0.421
2451161.6449,0.42
2451161.7338,0.449
2451162.7329,0.44
2451164.6843,0.449
2451165.6694,0.452
2451166.4843,0.453
2451168.6773,0.467
2451174.6657,0.487
2451174.6968,0.48
2451176.6451,0.456
2451176.7028,0.486
2451183.6273,0.489
2451184.3789,0.475
2451184.6104,0.474
2451188.6005,0.48
2451188.6623,0.49
2451194.6426,0.482
2451195.6417,0.469
2451197.3799,0.467
2451209.5757,0.463
2451209.6032,0.441
2451210.2926,0.429
2451210.5981,0.438
2451214.4067,0.418
2451220.578,0.39
2451221.712,0.399
2451222.3088,0.376
2451222.566,0.389
2451222.5727,0.396
2451228.3384,0.358
2451229.5472,0.346
2451230.5438,0.351
2451232.5428,0.35
2451235.2968,0.317
2451236.5301,0.326
2451245.3069,0.308
2451245.5042,0.316
2451257.3019,0.309
2451458.6456,0.503
2451479.5699,0.514
2451490.5586,0.53
2451505.5262,0.521
2451518.516,0.565
2451520.7477,0.563
2451526.7275,0.562
2451531.7174,0.561
2451533.4414,0.546
2451541.6933,0.548
2451557.6484,0.509
2451560.6368,0.502
2451564.6289,0.499
2451568.5762,0.524
2451568.6125,0.49
2451570.6125,0.486
2451571.6069,0.493
2451572.6049,0.496
2451573.6104,0.493
2451579.5891,0.491
2451582.5775,0.504
2451583.5549,0.541
2451586.566,0.51
2451591.5535,0.532
2451603.5236,0.558
2451607.5104,0.574
2451609.5102,0.57
2451611.5028,0.583
2451621.6347,0.591
2451624.7111,0.574
2451634.6569,0.564
2451637.6558,0.536
2451641.6595,0.521
2451645.6539,0.516
2451658.6602,0.478
2451782.0123,0.74
2451882.7345,0.506
2451883.6773,0.498
2451897.6412,0.466
2451900.6549,0.461
2451906.6192,0.45
2451906.6917,0.473
2451908.6065,0.452
2451917.6044,0.465
2451921.6556,0.472
2451923.5613,0.465
2451928.5671,0.489
2451929.6345,0.503
2451930.6278,0.517
2451931.5676,0.516
2451938.6032,0.542
2451943.5988,0.558
2451952.5782,0.588
2451953.6002,0.588
2451975.6965,0.616
2451982.663,0.622
2451986.6766,0.611
2451997.6854,0.602
2452010.6537,0.594
2452181.888,0.479
2452250.7171,0.363
2452251.6458,0.45
2452262.6877,0.372
2452268.618,0.51
2452270.5547,2.35
2452276.6819,0.397
2452277.6773,0.411
2452288.5764,0.452
2452293.5843,0.467
2452293.6329,0.463
2452294.5985,0.47
2452295.6044,0.475
2452299.6044,0.485
2452306.5979,0.497
2452309.6007,0.487
2452310.5875,0.513
2452312.5697,0.52
2452314.5718,0.524
2452314.5785,0.518
2452316.5676,0.532
2452318.5544,0.535
2452323.5498,0.571
2452324.5544,0.589
2452335.5218,0.594
2452337.5148,0.632
2452338.5155,0.611
2452343.715,0.653
2452345.7167,0.661
2452348.7062,0.643
2452351.6701,0.67
2452611.7692,0.449
2452641.6815,0.398
2452646.6662,0.384
2452650.6562,0.408
2452652.6602,0.429
2452661.5417,0.57
2452662.6183,0.478
2452665.5877,0.55
2452669.5968,0.544
2452669.6042,0.509
2452680.5722,0.569
2452683.5562,0.592
2452684.5532,0.602
2452685.5556,0.615
2452690.5558,0.656
2452691.5438,0.664
2452691.6012,0.689
2452692.5535,0.656
2452694.5317,0.691
2452696.528,0.695
2452697.5292,0.705
2452698.5257,0.709
2452701.5132,0.736
2452702.5208,0.736
2452705.5056,0.751
2452707.7359,0.786
2452708.5021,0.792
2452709.5042,0.797
2452712.6944,0.793
2452722.69,0.868
2452729.6269,0.898
2452734.6289,0.927
2452870.9167,0.86
2453013.6486,0.459
2453014.6498,0.458
2453018.6398,0.45
2453020.6451,0.448
2453021.6292,0.43
2453025.625,0.447
2453029.6139,0.443
2453043.5778,0.446
2453049.5604,0.46
2453051.5586,0.46
2453058.5317,0.478
2453060.5373,0.483
2453062.5287,0.491
2453064.5222,0.498
2453065.5257,0.484
2453086.2412,0.569
2453385.6514,0.431
2453391.6278,0.436
2453394.619,0.434
2453397.6164,0.44
2453398.6104,0.45
2453399.6095,0.455
2453402.5984,0.439
2453407.5456,0.502
2453412.569,0.431
2453425.5324,0.409
2453428.5255,0.407
2453433.519,0.405
2453434.5178,0.402
2453796.5688,0.375
2453811.5896,0.463
2453818.5725,0.487
2453821.5484,0.509
2453823.5609,0.518
2454062.659,0.736
2454103.653,0.632
2454139.5275,0.424
2454160.638,0.436
2454171.5532,0.449
2454180.5373,0.47
2454187.5442,0.453
2454475.56,0.595
2454479.30556,0.64
2454513.5269,0.519
2454521.5079,0.502
2454681.61,0.97
2454683.61,0.82
2454697.56,0.54
2454702.6,0.55
2454703.6,0.49
2454711.58,1.09
2454715.58,0.85
2454718.58,0.36
2454719.58,0.88
2454762.8859,0.905
2454768.58,0.73
2454768.58,0.23
2454769.58,0.93
2454770.58,1.08
2454771.8894,0.942
2454772.56,0.79
2454774.56,0.93
2454777.56,0.56
2454789.63,0.45
2454793.4901,0.938
2454793.53,1.03
2454796.51,0.9
2454798.54,0.52
2454801.56,1.26
2454823.53,0.65
2454824.54,0.32
2454828.38,0.96
2454829.47,0.98
2454830.7215,0.877
2454837.606,0.854
2454841.4464,0.789
2454854.6516,0.876
2454872.3,0.85
2454875.6262,0.878
2454878.27,1.13
2454881.31,0.97
2454882.31,0.77
2454885.5875,0.78
2454891.31,1.08
2454893.60417,0.755
2454895.5208,0.749
2454903.25,0.4
2454904.34,0.47
2454904.5178,0.69
2454907.29,0.62
2454908.5646,0.697
2454910.29,0.79
2454910.625,0.694
2454913.29,0.68
2454913.5616,0.656
2454918.27,1.02
2454921.60694,0.65
2454923.60069,0.597
2455052.42,1.06
2455053.48,1.02
2455058.52,0.85
2455059.52,0.85
2455060.52,0.85
2455061.52,0.83
2455062.52,0.7
2455066.52,1.06
2455069.52,0.54
2455070.52,1.05
2455072.52,0.8
2455073.52,0.8
2455074.52,0.55
2455075.56,0.85
2455078.56,0.84
2455080.56,0.8
2455081.56,0.8
2455082.56,0.8
2455083.56,0.79
2455087.56,0.74
2455093.56,0.7
2455094.56,0.67
2455095.57,0.66
2455096.56,0.65
2455097.56,0.63
2455098.56,0.63
2455100.56,0.56
2455102.56,0.56
2455104.54,0.54
2455109.9231,0.542
2455123.8782,0.52
2455136.8863,0.47
2455163.7933,0.406
2455195.72917,0.335
2455210.6539,0.42
2455236.5,0.549
2455261.5583,0.52
2455273.5762,0.479
2455280.6174,0.443
2455282.5546,0.445
2455296.5648,0.402
2455296.616,0.372
2455304.5646,0.358
2455478.94444,0.259
2455482.94861,0.184
2455648.55139,0.507
2455648.6188,0.561
2455864.8322,0.556
2455883.763,0.487
2455906.6887,0.449
2455929.6649,0.396
2455946.6938,0.378
2455947.2708,0.419
2455970.2347,0.454
2455973.6701,0.424
2455974.3118,0.424
2455978.58223,0.359
2455983.2757,0.482
2455985.6222,0.408
2455993.2451,0.5
2455998.60182,0.43
2456002.6361,0.505
2456007.2882,0.492
2456026.53998,0.546
2456245.77675,0.486
2456282.6715,0.642
2456291.3563,0.669
2456292.70294,0.49
2456295.4354,0.628
2456303.4167,0.59
2456304.3764,0.61
